Date,Open,High,Low,Close,Volume
2022-01-03,100.68,100.5,99.32,100.5,1401
2022-01-04,100.64,100.86,100.02,100.36,2466
2022-01-05,101.55,101.81,99.77,101.01,4561
2022-01-06,103.06,103.35,101.05,102.53,1614
2022-01-07,101.61,102.87,101.29,102.3,2296
2022-01-10,101.59,103.17,100.32,102.06,4597
2022-01-11,103.9,103.91,103.23,103.64,2182
2022-01-12,104.66,105.14,104.23,104.41,4223
2022-01-13,104.2,104.8,104.03,103.94,4042
2022-01-14,106.41,105.54,102.93,104.48,3667
2022-01-17,104.3,105.17,102.89,104.02,3235
2022-01-18,104.12,103.79,102.78,103.55,4884
2022-01-19,104.27,103.83,102.85,103.79,2121
2022-01-20,102.21,103.32,101.64,101.88,1130
2022-01-21,100.0,101.12,98.13,100.16,3852
2022-01-24,99.97,100.02,98.73,99.59,2194
2022-01-25,98.19,100.16,97.73,98.58,3983
2022-01-26,98.78,99.75,97.73,98.89,4033
2022-01-27,97.74,99.38,96.95,97.99,1182
2022-01-28,96.61,97.41,95.66,96.57,4030
2022-01-31,99.2,99.87,97.63,98.04,1363
2022-02-01,96.88,99.49,96.78,97.81,1038
2022-02-02,98.22,98.56,96.14,97.88,4598
2022-02-03,95.65,97.74,94.98,96.46,4959
2022-02-04,95.68,97.03,94.32,95.91,3544
2022-02-07,96.57,97.51,95.48,96.02,4587
2022-02-08,94.9,95.19,94.57,94.87,2372
2022-02-09,94.71,96.39,94.51,95.25,4029
2022-02-10,94.29,95.98,93.82,94.65,1920
2022-02-11,94.7,94.28,93.01,94.36,4468
2022-02-14,93.39,93.96,93.8,93.75,3769
2022-02-15,95.71,95.39,94.04,95.61,4232
2022-02-16,95.62,96.26,94.87,95.59,1015
2022-02-17,94.21,95.69,93.95,94.53,1492
2022-02-18,96.43,96.91,95.06,95.36,2449
2022-02-21,94.45,94.97,94.16,94.14,2131
2022-02-22,93.33,95.96,93.13,94.35,3941
2022-02-23,92.48,92.5,91.55,92.39,4521
2022-02-24,90.73,91.01,90.9,91.06,1310
2022-02-25,91.68,92.03,91.1,91.25,1738
2022-02-28,91.6,92.99,91.36,91.99,4241
2022-03-01,92.11,92.95,90.53,92.16,1545
2022-03-02,92.3,91.81,91.38,92.05,3461
2022-03-03,92.18,92.5,91.7,91.75,1250
2022-03-04,89.67,90.42,89.59,90.27,1758
2022-03-07,89.38,90.68,88.89,89.55,2804
2022-03-08,88.85,90.07,89.64,89.09,4212
2022-03-09,89.82,90.48,89.37,90.15,2297
2022-03-10,91.37,91.03,89.8,90.49,4487
2022-03-11,88.93,89.0,87.58,88.73,2631
2022-03-14,88.42,89.82,87.33,89.05,4810
2022-03-15,89.12,89.94,87.3,88.67,2914
2022-03-16,89.05,88.3,87.32,87.99,4110
2022-03-17,89.12,89.65,88.35,88.6,1813
2022-03-18,88.87,90.17,87.54,89.63,1028
2022-03-21,90.32,90.97,89.73,90.56,1957
2022-03-22,90.36,90.47,88.92,89.72,3032
2022-03-23,89.06,89.7,88.63,89.41,1476
2022-03-24,89.97,90.27,88.85,89.75,1317
2022-03-25,91.11,90.92,89.99,90.72,1244
2022-03-28,89.78,92.02,89.73,90.24,1747
2022-03-29,90.03,90.87,89.53,90.06,1696
2022-03-30,87.33,89.4,88.17,88.95,1271
2022-03-31,87.24,88.66,87.23,87.75,4511
2022-04-01,88.44,89.31,88.12,88.57,2771
2022-04-04,89.3,90.61,89.07,89.92,2262
2022-04-05,90.67,90.96,89.18,89.85,3424
2022-04-06,90.14,92.03,89.3,90.85,1265
2022-04-07,91.0,91.75,91.74,91.22,3973
2022-04-08,90.64,91.08,89.22,90.57,1920
2022-04-11,91.65,91.59,89.51,90.93,4430
2022-04-12,91.75,92.12,92.71,92.47,1339
2022-04-13,93.02,92.48,91.81,92.43,1388
2022-04-14,94.0,95.48,93.38,94.0,3624
2022-04-15,90.89,93.0,91.28,91.38,4760
2022-04-18,92.43,92.88,91.79,92.2,3050
2022-04-19,92.39,93.38,92.04,92.29,4500
2022-04-20,91.69,92.94,90.31,91.99,2165
2022-04-21,92.12,94.42,90.81,92.08,1375
2022-04-22,89.9,91.45,88.66,90.09,4741
2022-04-25,89.93,90.61,88.71,89.87,3033
2022-04-26,90.56,90.55,89.99,90.23,3371
2022-04-27,92.5,91.7,91.17,91.71,1145
2022-04-28,90.57,92.09,90.15,91.19,2981
2022-04-29,91.45,90.8,90.19,90.38,1292
2022-05-02,88.9,89.97,88.72,89.88,4736
2022-05-03,90.72,91.27,90.12,90.8,1431
2022-05-04,91.42,91.38,90.51,91.12,1704
2022-05-05,90.73,92.24,89.44,90.59,3996
2022-05-06,90.8,92.35,90.09,91.11,2998
2022-05-09,91.1,92.0,90.58,91.2,3632
2022-05-10,91.93,93.71,90.79,92.17,1398
2022-05-11,91.18,92.31,91.21,91.47,3864
2022-05-12,91.57,91.51,90.04,91.14,4960
2022-05-13,90.93,92.31,89.65,90.75,4415
2022-05-16,88.94,90.36,88.64,89.29,1963
2022-05-17,90.03,89.87,88.62,89.58,4211
2022-05-18,90.0,90.55,89.67,89.84,3234
2022-05-19,90.26,90.21,88.59,89.85,3041
2022-05-20,89.93,89.72,88.91,89.62,2828
2022-05-23,87.79,89.46,87.66,88.2,3108
2022-05-24,87.5,89.53,86.45,87.78,1938
2022-05-25,87.81,87.54,86.99,87.44,4451
2022-05-26,86.94,87.72,86.54,86.63,1709
2022-05-27,86.46,86.95,86.45,86.47,1806
2022-05-30,86.94,87.43,85.77,86.88,2463
2022-05-31,89.4,89.27,88.6,88.76,4390
2022-06-01,88.64,89.31,87.26,88.94,2325
2022-06-02,89.47,90.02,89.44,89.2,4415
2022-06-03,89.02,89.51,87.47,89.12,1010
2022-06-06,87.09,88.14,86.3,87.2,2085
2022-06-07,87.73,87.95,86.42,87.18,2868
2022-06-08,87.65,87.92,86.71,87.24,3273
2022-06-09,90.11,90.05,88.7,89.7,4224
2022-06-10,90.16,90.02,88.73,89.51,4782
2022-06-13,89.82,90.99,88.46,89.81,3611
2022-06-14,90.11,90.82,88.92,89.77,1771
2022-06-15,88.45,88.92,87.73,88.6,2594
2022-06-16,89.91,90.6,89.13,89.75,2607
2022-06-17,90.43,91.68,89.73,90.5,4731
2022-06-20,91.34,91.26,90.34,91.29,4932
2022-06-21,90.68,91.45,90.44,90.38,4646
2022-06-22,91.38,92.25,91.66,91.78,2333
2022-06-23,91.43,91.47,89.21,90.38,1884
2022-06-24,90.47,91.39,90.08,90.97,4314
2022-06-27,92.55,93.06,92.45,93.16,4564
2022-06-28,92.75,92.16,91.36,92.17,2389
2022-06-29,92.0,92.43,90.63,91.6,4401
2022-06-30,92.01,92.63,91.17,91.7,4178
2022-07-01,91.51,91.55,90.79,91.2,1225
2022-07-04,89.64,90.77,88.75,89.65,1824
2022-07-05,89.27,89.69,89.41,89.72,3265
2022-07-06,88.69,89.42,87.65,88.65,1936
2022-07-07,88.79,89.32,89.18,89.13,3800
2022-07-08,88.7,88.68,86.89,88.21,3553
2022-07-11,89.69,90.58,88.72,89.76,3306
2022-07-12,88.56,89.35,88.05,88.98,2911
2022-07-13,88.49,89.26,87.36,88.65,4845
2022-07-14,89.67,90.77,87.83,89.47,4588
2022-07-15,87.95,88.75,86.93,88.24,2796
2022-07-18,88.05,89.68,88.58,88.46,1053
2022-07-19,89.89,90.01,89.61,89.77,4118
2022-07-20,88.29,89.23,87.68,88.16,1726
2022-07-21,88.09,89.87,87.53,88.35,3736
2022-07-22,88.37,88.17,87.55,88.61,2544
2022-07-25,89.51,89.79,88.95,89.39,4170
2022-07-26,87.43,89.24,87.26,88.15,2043
2022-07-27,86.13,87.53,86.41,86.83,2913
2022-07-28,86.99,88.34,86.86,87.35,2776
2022-07-29,87.54,88.15,87.55,87.65,2596
2022-08-01,88.06,88.74,87.56,87.9,2914
2022-08-02,88.99,88.97,88.12,88.25,4561
2022-08-03,88.0,88.95,87.26,87.57,3466
2022-08-04,87.72,88.73,86.47,87.8,3737
2022-08-05,88.08,89.06,87.77,88.09,1849
2022-08-08,86.88,87.97,85.26,87.38,3109
2022-08-09,89.24,89.8,88.2,89.24,4216
2022-08-10,89.57,90.3,88.83,89.72,3263
2022-08-11,88.69,89.52,88.16,88.53,1002
2022-08-12,88.77,89.77,88.03,89.18,1159
2022-08-15,88.47,89.15,87.7,88.21,4810
2022-08-16,89.76,90.83,88.14,89.0,1780
2022-08-17,90.1,91.39,88.07,90.15,4191
2022-08-18,89.53,89.97,88.58,89.33,1892
2022-08-19,90.64,91.7,88.92,90.3,3030
2022-08-22,90.51,91.31,90.26,90.71,4160
2022-08-23,91.64,91.31,90.75,91.53,3376
2022-08-24,93.44,93.73,91.74,93.43,1579
2022-08-25,93.23,93.05,92.7,93.18,2933
2022-08-26,92.04,93.05,90.72,92.43,2380
2022-08-29,91.55,92.35,90.39,91.54,4681
2022-08-30,90.97,92.36,90.21,90.72,2290
2022-08-31,91.37,91.61,89.53,90.65,2640
2022-09-01,91.47,91.68,89.7,90.99,1951
2022-09-02,92.34,92.48,90.15,91.27,4394
